Protein IDs	Itaru contami list	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides CAPD3_4	Peptides CAPD3_5	Peptides CAPH_1	Peptides CAPH_2	Peptides SCC1_2	Peptides SCC1_3	Peptides SCC1_4	Peptides SMC2_1	Peptides SMC2_4	Peptides SMC5_1	Peptides SMC5_3	Razor + unique peptides CAPD3_4	Razor + unique peptides CAPD3_5	Razor + unique peptides CAPH_1	Razor + unique peptides CAPH_2	Razor + unique peptides SCC1_2	Razor + unique peptides SCC1_3	Razor + unique peptides SCC1_4	Razor + unique peptides SMC2_1	Razor + unique peptides SMC2_4	Razor + unique peptides SMC5_1	Razor + unique peptides SMC5_3	Unique peptides CAPD3_4	Unique peptides CAPD3_5	Unique peptides CAPH_1	Unique peptides CAPH_2	Unique peptides SCC1_2	Unique peptides SCC1_3	Unique peptides SCC1_4	Unique peptides SMC2_1	Unique peptides SMC2_4	Unique peptides SMC5_1	Unique peptides SMC5_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Experiment CAPD3_4	Experiment CAPD3_5	Experiment CAPH_1	Experiment CAPH_2	Experiment SCC1_2	Experiment SCC1_3	Experiment SCC1_4	Experiment SMC2_1	Experiment SMC2_4	Experiment SMC5_1	Experiment SMC5_3	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L CAPD3_4	Ratio H/L normalized CAPD3_4	Ratio H/L variability [%] CAPD3_4	Ratio H/L count CAPD3_4	Ratio H/L CAPD3_5	Ratio H/L normalized CAPD3_5	Ratio H/L variability [%] CAPD3_5	Ratio H/L count CAPD3_5	Ratio H/L CAPH_1	Ratio H/L normalized CAPH_1	Ratio H/L variability [%] CAPH_1	Ratio H/L count CAPH_1	Ratio H/L CAPH_2	Ratio H/L normalized CAPH_2	Ratio H/L variability [%] CAPH_2	Ratio H/L count CAPH_2	Ratio H/L SCC1_2	Ratio H/L normalized SCC1_2	Ratio H/L variability [%] SCC1_2	Ratio H/L count SCC1_2	Ratio H/L SCC1_3	Ratio H/L normalized SCC1_3	Ratio H/L variability [%] SCC1_3	Ratio H/L count SCC1_3	Ratio H/L SCC1_4	Ratio H/L normalized SCC1_4	Ratio H/L variability [%] SCC1_4	Ratio H/L count SCC1_4	Ratio H/L SMC2_1	Ratio H/L normalized SMC2_1	Ratio H/L variability [%] SMC2_1	Ratio H/L count SMC2_1	Ratio H/L SMC2_4	Ratio H/L normalized SMC2_4	Ratio H/L variability [%] SMC2_4	Ratio H/L count SMC2_4	Ratio H/L SMC5_1	Ratio H/L normalized SMC5_1	Ratio H/L variability [%] SMC5_1	Ratio H/L count SMC5_1	Ratio H/L SMC5_3	Ratio H/L normalized SMC5_3	Ratio H/L variability [%] SMC5_3	Ratio H/L count SMC5_3	Sequence coverage CAPD3_4 [%]	Sequence coverage CAPD3_5 [%]	Sequence coverage CAPH_1 [%]	Sequence coverage CAPH_2 [%]	Sequence coverage SCC1_2 [%]	Sequence coverage SCC1_3 [%]	Sequence coverage SCC1_4 [%]	Sequence coverage SMC2_1 [%]	Sequence coverage SMC2_4 [%]	Sequence coverage SMC5_1 [%]	Sequence coverage SMC5_3 [%]	Intensity	Intensity L	Intensity H	Intensity CAPD3_4	Intensity L CAPD3_4	Intensity H CAPD3_4	Intensity CAPD3_5	Intensity L CAPD3_5	Intensity H CAPD3_5	Intensity CAPH_1	Intensity L CAPH_1	Intensity H CAPH_1	Intensity CAPH_2	Intensity L CAPH_2	Intensity H CAPH_2	Intensity SCC1_2	Intensity L SCC1_2	Intensity H SCC1_2	Intensity SCC1_3	Intensity L SCC1_3	Intensity H SCC1_3	Intensity SCC1_4	Intensity L SCC1_4	Intensity H SCC1_4	Intensity SMC2_1	Intensity L SMC2_1	Intensity H SMC2_1	Intensity SMC2_4	Intensity L SMC2_4	Intensity H SMC2_4	Intensity SMC5_1	Intensity L SMC5_1	Intensity H SMC5_1	Intensity SMC5_3	Intensity L SMC5_3	Intensity H SMC5_3
F1NK10		F1NK10	25	25	25			>tr|F1NK10|F1NK10_CHICK Uncharacterized protein OS=Gallus gallus PE=2 SV=2	1	25	25	25	6	5	21	12	0	1	4	3	5	0	4	6	5	21	12	0	1	4	3	5	0	4	6	5	21	12	0	1	4	3	5	0	4	41	41	41	70.996	668	668	6	7	43	26		2	8	3	6		4	0	1.3815	1.3538	33.265	86	1.1074	1.3709	12.519	3	1.3741	1.4006	13.437	5	1.8415	1.6766	15.412	38	1.0914	1.0393	17.545	25	NA	NA	NA	0	NA	NA	NA	0	0.64401	0.751	35.064	7	0.42644	0.558	12.734	2	1.7349	1.3338	2.1435	2	NA	NA	NA	0	0.6079	0.98911	28.349	4	10.6	11.1	32.9	23.4	0	1.5	10.2	8.2	12	0	9.7	6624200000	2586900000	4037300000	140230000	58616000	81615000	411610000	176810000	234790000	4246300000	1472400000	2773900000	1433500000	673260000	760220000	0	0	0	0	0	0	175610000	93141000	82469000	2066600	1370800	695800	76071000	25523000	50548000	0	0	0	138870000	85736000	53137000
F1NK12		F1NK12	8	8	2		QTRTD1	>tr|F1NK12|F1NK12_CHICK Queuine tRNA-ribosyltransferase subunit QTRTD1 (Fragment) OS=Gallus gallus GN=QTRTD1 PE=4 SV=2	1	8	8	2	1	1	4	6	0	1	2	3	3	0	4	1	1	4	6	0	1	2	3	3	0	4	0	0	0	1	0	0	0	0	1	0	1	30.4	30.4	8	44.864	401	401	1	1	6	11		1	2	3	4		6	1.67E-63	0.71592	0.80999	51.525	28	NA	NA	NA	1	NA	NA	NA	1	0.86235	0.86079	23.473	5	0.72865	0.70005	33.365	7	NA	NA	NA	0	NA	NA	NA	1	1.3491	1.6596	50.529	2	1.0057	1.2116	21.237	3	0.41605	0.34124	72.008	2	NA	NA	NA	0	0.4779	0.76696	28.43	6	3.5	3.5	15	26.9	0	3.5	6.7	12	14.5	0	19	843000000	469210000	373790000	45010000	25152000	19859000	21158000	15776000	5381700	168770000	77957000	90814000	160950000	88116000	72838000	0	0	0	522230	185780	336450	97831000	42649000	55182000	4444600	2146100	2298600	76702000	48587000	28115000	0	0	0	267600000	168640000	98963000
F1NK18		F1NK18	11	11	11		MRPS26	>tr|F1NK18|F1NK18_CHICK MRPS26 OS=Gallus gallus GN=MRPS26 PE=2 SV=2	1	11	11	11	2	6	8	6	4	4	4	0	4	0	6	2	6	8	6	4	4	4	0	4	0	6	2	6	8	6	4	4	4	0	4	0	6	29.5	29.5	29.5	33.213	298	298	2	11	15	9	13	4	8		6		10	3.22E-112	0.44119	0.70181	57.221	48	NA	NA	NA	1	0.52961	0.55133	26.576	4	0.32643	0.30182	59.747	8	0.33822	0.33911	73.065	6	0.43549	0.77101	12.87	9	0.43329	0.80347	18.131	4	0.76841	0.93387	18.203	4	NA	NA	NA	0	1.1417	0.93287	54.049	4	NA	NA	NA	0	0.42129	0.70086	57.172	8	7.7	25.8	26.5	21.8	10.7	15.4	17.4	0	13.8	0	19.8	2373800000	1486500000	887270000	48527000	22623000	25904000	268740000	183640000	85101000	566090000	354140000	211950000	159660000	114060000	45601000	9194300	6097800	3096400	61726000	43711000	18015000	300310000	150760000	149550000	0	0	0	198600000	105310000	93290000	0	0	0	760890000	506130000	254760000
F1NK20		F1NK20	60	1	1		SMC5	>tr|F1NK20|F1NK20_CHICK Uncharacterized protein OS=Gallus gallus PE=2 SV=2	1	60	1	1	44	37	4	20	0	12	13	0	15	6	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	56	0.8	0.8	115.7	990	990									1			0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	47.6	38.6	7	19.9	0	15.8	14.6	0	16.9	7.7	35.9	237700000	86721000	150980000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237700000	86721000	150980000	0	0	0	0	0	0
F1NK39		F1NK39	35	33	33			>tr|F1NK39|F1NK39_CHICK ARID4B OS=Gallus gallus GN=ARID4B PE=2 SV=2	1	35	33	33	7	8	29	15	0	1	6	1	6	1	11	5	7	27	13	0	0	5	0	5	0	9	5	7	27	13	0	0	5	0	5	0	9	33	31	31	147.36	1311	1311	7	8	51	24			6		5		13	0	1.5933	1.4702	47.879	85	1.0888	1.3231	54.846	4	1.833	1.9895	37.107	5	2.2296	2.0262	38.311	40	1.059	1.0508	24.47	18	NA	NA	NA	0	NA	NA	NA	0	0.84352	1.0504	11.725	4	NA	NA	NA	0	1.3736	1.0051	51.861	4	NA	NA	NA	0	0.59754	0.9872	26.751	10	7.6	10.5	28.7	14.6	0	2	5.8	2.1	7.2	2	12.1	7357200000	2691000000	4666200000	297540000	145340000	152200000	258700000	100050000	158650000	4913300000	1431600000	3481700000	629880000	309490000	320390000	0	0	0	0	0	0	284300000	159600000	124700000	0	0	0	136640000	59403000	77240000	0	0	0	836870000	485500000	351370000
F1NK40		F1NK40	4	4	4		LOC100858010	>tr|F1NK40|F1NK40_CHICK Uncharacterized protein OS=Gallus gallus GN=LOC100858010 PE=4 SV=2	1	4	4	4	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	0	5.2	5.2	5.2	163.34	1474	1474				1				3				2.88E-19	0.27347	0.36021	87.745	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0.27347	0.36021	87.745	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0	0	0	0.9	0	0	0	4.3	0	0	0	1096600	1039900	56694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096600	1039900	56694	0	0	0	0	0	0	0	0	0
F1NK46		F1NK46	36	36	36		LOC100858830	>tr|F1NK46|F1NK46_CHICK CENP-32 OS=Gallus gallus GN=LOC100858830 PE=4 SV=2	1	36	36	36	24	19	22	20	6	16	10	24	13	14	22	24	19	22	20	6	16	10	24	13	14	22	24	19	22	20	6	16	10	24	13	14	22	72.6	72.6	72.6	42.693	379	379	43	43	63	61	14	35	43	42	71	41	49	0	0.80106	0.93781	33.554	438	0.91726	1.1182	42.413	38	1.1264	1.1674	40.821	37	0.93299	0.84225	19.483	54	0.69331	0.68397	27.105	47	0.54578	0.95357	13.985	12	0.54351	0.95617	14.737	28	0.89295	1.0388	23.83	36	0.43901	0.59456	29.905	42	1.2461	1.0289	17.835	61	0.69341	0.8979	23.279	38	0.61945	1.0335	23.707	45	60.4	48.3	58.3	52.8	16.6	48.3	27.4	60.7	42	44.6	57.3	58115000000	30281000000	27834000000	13275000000	6369500000	6905100000	9442300000	4374100000	5068300000	9511400000	4880600000	4630800000	5250700000	3224900000	2025800000	45210000	30314000	14896000	388180000	243600000	144570000	3475100000	1797200000	1677900000	383500000	264470000	119040000	3307900000	1475200000	1832700000	287070000	155390000	131690000	12749000000	7466100000	5283300000
F1NK47		F1NK47	31	31	31		PREX1	>tr|F1NK47|F1NK47_CHICK Uncharacterized protein OS=Gallus gallus GN=Gga.49561 PE=4 SV=2	1	31	31	31	4	3	10	9	0	3	8	13	7	0	9	4	3	10	9	0	3	8	13	7	0	9	4	3	10	9	0	3	8	13	7	0	9	24.8	24.8	24.8	176.97	1568	1568	5	5	13	11		3	11	14	10		10	2.10E-231	0.66842	0.84245	58.538	52	NA	NA	NA	1	0.63978	0.66983	3.6792	2	0.39629	0.35457	31.803	8	0.38517	0.38154	63.242	7	NA	NA	NA	0	1.0398	1.7791	32.643	3	1.1548	1.3669	18.359	4	0.98648	1.3488	38.159	13	1.1843	0.96431	17.132	4	NA	NA	NA	0	0.4288	0.70684	34.461	10	3.4	2.7	10.8	8.6	0	2.1	6.9	11.5	5.9	0	7.6	1960500000	1162500000	797990000	28193000	17144000	11049000	33855000	19349000	14506000	540750000	375130000	165620000	289980000	166240000	123740000	0	0	0	29849000	11504000	18345000	361780000	156590000	205190000	44068000	21873000	22195000	150530000	77327000	73202000	0	0	0	481520000	317380000	164150000
F1NK53		F1NK53	79	79	78		Gga.15664	>tr|F1NK53|F1NK53_CHICK Uncharacterized protein OS=Gallus gallus GN=Gga.15664 PE=4 SV=2	1	79	79	78	34	41	57	42	12	13	23	27	22	9	42	34	41	57	42	12	13	23	27	22	9	42	33	40	56	41	12	12	22	26	21	8	41	59.3	59.3	58.2	141.32	1312	1312	49	71	139	116	24	19	40	33	37	12	68	0	0.94333	1.0039	33.03	494	0.90539	1.0941	29.358	33	0.9258	0.95628	26.376	59	1.4251	1.2962	16.002	121	0.96193	0.94955	23.684	96	0.36997	0.64776	23.121	22	0.37973	0.68338	23.55	19	0.54681	0.64986	38.602	22	0.8976	1.1138	18.435	32	1.9874	1.5064	47.493	25	0.66642	0.87722	33.668	12	0.47107	0.78354	18.944	53	33.4	40.3	50.9	43.4	13.8	15.2	23.2	26.5	25	12	43.1	54692000000	26802000000	27890000000	3881700000	2038800000	1842900000	7254600000	3803900000	3450700000	22755000000	9330000000	13425000000	9034800000	4502200000	4532600000	46477000	33305000	13172000	174990000	124240000	50750000	2217800000	1227200000	990550000	130760000	66687000	64071000	1866600000	781480000	1085100000	83756000	47372000	36384000	7245300000	4846900000	2398300000
F1NK57;R4GGZ7		F1NK57	7;1	7;1	7;1		LIMD1	>tr|F1NK57|F1NK57_CHICK LIMD1_	2	7	7	7	0	0	4	1	0	0	0	1	0	0	3	0	0	4	1	0	0	0	1	0	0	3	0	0	4	1	0	0	0	1	0	0	3	19.7	19.7	19.7	61.649	575	575;691			4	1				1			3	2.06E-62	0.34505	0.38861	95.657	7	NA	NA	NA	0	NA	NA	NA	0	0.34505	0.34309	26.097	3	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0.27051	0.45035	100.19	3	0	0	13.9	1.4	0	0	0	2.8	0	0	4.3	499000000	258500000	240500000	0	0	0	0	0	0	201910000	148090000	53818000	152380000	47479000	104900000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144710000	62930000	81782000
F1NK58		F1NK58	3	3	3		TTC26	>tr|F1NK58|F1NK58_CHICK TTC26 OS=Gallus gallus GN=TTC26 PE=4 SV=2	1	3	3	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	7.8	7.8	7.8	63.728	554	554				1							2	3.05E-08	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	0	0	0	1.8	0	0	0	0	0	0	6	10841000	6032400	4808400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10841000	6032400	4808400
F1NK59		F1NK59	27	27	27		SACM1L	>tr|F1NK59|F1NK59_CHICK SACM1L OS=Gallus gallus GN=SACM1L PE=4 SV=2	1	27	27	27	9	7	2	6	0	5	6	3	9	0	18	9	7	2	6	0	5	6	3	9	0	18	9	7	2	6	0	5	6	3	9	0	18	50.2	50.2	50.2	67.489	590	590	15	8	3	7		7	7	3	12		29	2.69E-160	0.723	0.91484	46.355	69	0.68467	0.83912	22.213	12	0.38632	0.41129	72.22	5	0.63038	0.5784	14.49	2	0.79543	0.76467	21.958	4	NA	NA	NA	0	1.4453	2.5955	18.168	7	1.5206	1.8354	36.818	6	0.93835	1.2398	18.967	3	1.1422	0.94168	31.382	9	NA	NA	NA	0	0.53498	0.88101	15.128	21	18	13.4	5.3	11.9	0	9.2	13.6	6.1	16.4	0	37.3	3837000000	2179000000	1658000000	880260000	490940000	389310000	418230000	243330000	174900000	44532000	28554000	15978000	135460000	75031000	60427000	0	0	0	28345000	10814000	17531000	304910000	129840000	175070000	5941100	3315500	2625600	383500000	173010000	210490000	0	0	0	1635800000	1024100000	611650000
F1NK75		F1NK75	13	5	4			>tr|F1NK75|F1NK75_CHICK Uncharacterized protein OS=Gallus gallus PE=2 SV=2	1	13	5	4	1	4	5	4	3	4	4	3	4	0	6	1	1	1	1	2	2	1	0	2	0	2	0	1	1	1	1	1	1	0	2	0	2	41.2	23.6	19.7	32.785	284	284	1	1	1	2	11	2	1		3		2	9.95E-133	0.84495	1.3919	84.212	14	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	0.86682	1.6244	19.552	7	0.62037	1.0944	16.333	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	3.9	14.4	22.9	17.6	12	19.7	17.6	10.6	14.8	0	23.6	339920000	203630000	136290000	41340000	34012000	7327800	16133000	14378000	1755300	73495000	39426000	34069000	42157000	27234000	14923000	5976800	2969600	3007200	11300000	6789200	4510600	0	0	0	0	0	0	115580000	44882000	70701000	0	0	0	33937000	33937000	0
F1NKC1		F1NKC1	18	18	18		KDM6A	>tr|F1NKC1|F1NKC1_CHICK Uncharacterized protein OS=Gallus gallus GN=Gga.52336 PE=2 SV=2	1	18	18	18	2	1	9	10	0	0	1	1	1	0	7	2	1	9	10	0	0	1	1	1	0	7	2	1	9	10	0	0	1	1	1	0	7	24.8	24.8	24.8	141.93	1287	1287	2	1	12	14			2	1	1		9	1.87E-168	0.91847	0.98068	32.097	24	NA	NA	NA	0	NA	NA	NA	0	1.169	1.0656	34.084	5	1.0657	0.98664	26.218	11	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	0.49541	0.82018	33.598	6	1.8	1.5	14.4	15.3	0	0	1.1	1.2	1.1	0	8.7	1695300000	935020000	760300000	0	0	0	0	0	0	355540000	144800000	210750000	528580000	256840000	271730000	0	0	0	0	0	0	86852000	52131000	34721000	1252000	751930	500040	0	0	0	0	0	0	723090000	480490000	242600000
F1NKE8		F1NKE8	10	10	10			>tr|F1NKE8|F1NKE8_CHICK PDXK OS=Gallus gallus GN=PDXK PE=4 SV=2	1	10	10	10	0	0	9	5	0	0	2	1	1	0	2	0	0	9	5	0	0	2	1	1	0	2	0	0	9	5	0	0	2	1	1	0	2	26.7	26.7	26.7	35.64	322	322			19	8			3	1	1		2	2.67E-116	0.62599	0.59728	50.595	26	NA	NA	NA	0	NA	NA	NA	0	0.60437	0.55767	27.294	16	0.8707	0.84039	18.965	7	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0.22559	0.3673	22.082	2	0	0	26.7	16.8	0	0	11.8	3.1	3.1	0	6.8	1478800000	844520000	634290000	0	0	0	0	0	0	1072100000	633520000	438560000	336650000	172010000	164640000	0	0	0	0	0	0	28871000	5662600	23209000	0	0	0	0	0	0	0	0	0	41210000	33329000	7881000
F1NKG9;F1NL95		F1NKG9	9;1	9;1	9;1		PAPOLA	>tr|F1NKG9|F1NKG9_CHICK PAPOLA OS=Gallus gallus GN=PAPOLA PE=2 SV=1	2	9	9	9	1	0	0	2	0	0	0	1	2	0	7	1	0	0	2	0	0	0	1	2	0	7	1	0	0	2	0	0	0	1	2	0	7	16	16	16	82.897	737	737;746	1			4				1	4		7	7.04E-36	0.50257	0.6888	58.135	13	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	0.4602	0.45926	22.277	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	1.3118	1.0919	44.944	2	NA	NA	NA	0	0.40224	0.6888	69.475	7	2.2	0	0	4.7	0	0	0	2.6	4.7	0	11.3	293870000	195250000	98620000	32598000	23455000	9143800	0	0	0	0	0	0	34889000	26524000	8365200	0	0	0	0	0	0	0	0	0	1365400	840320	525030	28900000	12965000	15935000	0	0	0	196120000	131470000	64651000
F1NKH3		F1NKH3	9	9	9			>tr|F1NKH3|F1NKH3_CHICK HOOK3 OS=Gallus gallus GN=HOOK3 PE=4 SV=2	1	9	9	9	0	0	2	3	0	1	1	0	2	0	4	0	0	2	3	0	1	1	0	2	0	4	0	0	2	3	0	1	1	0	2	0	4	15.2	15.2	15.2	83.484	722	722			6	3		2	1		2		4	1.15E-24	0.59084	0.67297	123.57	15	NA	NA	NA	0	NA	NA	NA	0	0.75774	0.67297	23.568	5	0.56372	0.56069	35.381	3	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	0.56723	0.92436	70.006	4	0	0	3.5	6.9	0	1.4	1.9	0	3.7	0	6.2	763090000	448840000	314250000	0	0	0	0	0	0	317290000	158190000	159090000	36622000	22090000	14532000	0	0	0	78796000	78347000	449690	22818000	9434900	13383000	0	0	0	12659000	5971900	6687000	0	0	0	294910000	174810000	120110000
F1NKI9;Q8QGQ6;F1NKI8;F1NGR0		F1NKI9;Q8QGQ6;F1NKI8	3;3;3;1	3;3;3;1	2;2;2;0	Circadian locomoter output cycles protein kaput	CLOCK	>tr|F1NKI9|F1NKI9_CHICK Circadian locomoter output cycles protein kaput OS=Gallus gallus GN=CLOCK PE=2 SV=2;>sp|Q8QGQ6|CLOCK_CHICK Circadian locomoter output cycles protein kaput OS=Gallus gallus GN=CLOCK PE=1 SV=2;>tr|F1NKI8|F1NKI8_CHICK Circadian locomot	4	3	3	2	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	5.4	5.4	4.5	96.897	858	858;875;877;828	1		1	1				1			2	3.23E-16	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	0.8	0	2.1	2.1	0	0	0	2.4	0	0	0.8	1012600	168350	844220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012600	168350	844220	0	0	0	0	0	0	0	0	0
F1NKJ7		F1NKJ7	2	2	2		ABHD10	>tr|F1NKJ7|F1NKJ7_CHICK Uncharacterized protein (Fragment) OS=Gallus gallus PE=4 SV=2	1	2	2	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	8.8	8.8	8.8	33.338	297	297			2	1							1	2.09E-05	1.4129	1.32	32.843	4	NA	NA	NA	0	NA	NA	NA	0	1.8068	1.5811	0.32839	2	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	0	0	2.4	2.4	0	0	0	0	0	0	6.4	2211800000	758960000	1452900000	0	0	0	0	0	0	2034700000	680140000	1354500000	172390000	75741000	96647000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4786000	3074300	1711700
F1NKL4		F1NKL4	412	412	412		DYNC1H1	>tr|F1NKL4|F1NKL4_CHICK DYNC1H1 OS=Gallus gallus GN=DYNC1H1 PE=2 SV=2	1	412	412	412	130	113	193	293	3	213	159	190	163	191	240	130	113	193	293	3	213	159	190	163	191	240	130	113	193	293	3	213	159	190	163	191	240	73.6	73.6	73.6	525.78	4577	4577	213	184	451	1352	8	499	323	298	327	459	637	0	0.97094	1.0557	39.864	4039	0.93601	1.1421	28.758	166	0.55046	0.58014	41.126	153	1.0982	0.99219	30.794	353	1.0096	0.99629	28.158	1133	1.1946	1.9616	57.212	5	0.9185	1.6381	30.79	467	0.84428	1.0155	32.773	241	0.90824	1.2217	39.53	293	1.6746	1.3047	31.041	237	1.1596	1.5118	34.86	435	0.49968	0.82731	33.858	556	36.9	30	46.1	59.1	0.7	51.1	40.8	49.7	40.3	50	56.1	6.00E+11	3.19E+11	2.81E+11	18018000000	9161600000	8856200000	17279000000	10354000000	6924900000	58854000000	30348000000	28506000000	2.69E+11	1.33E+11	1.37E+11	10519000	4407300	6111500	13671000000	7648900000	6021800000	38228000000	20706000000	17523000000	2752600000	1692600000	1059900000	35410000000	13567000000	21843000000	8215700000	3432300000	4783400000	1.38E+11	88965000000	49076000000
F1NKL7		F1NKL7	14	14	14		Gga.22411	>tr|F1NKL7|F1NKL7_CHICK HJURP OS=Gallus gallus PE=2 SV=2	1	14	14	14	3	4	8	8	0	1	2	4	2	1	2	3	4	8	8	0	1	2	4	2	1	2	3	4	8	8	0	1	2	4	2	1	2	26.3	26.3	26.3	66.31	582	582	3	7	13	13		2	2	4	2	2	2	6.20E-187	0.89323	1.0517	81.532	38	1.564	1.8685	1.0691	2	1.9659	2.0777	81.057	5	0.44718	0.39094	33.42	7	2.009	2.001	108.16	12	NA	NA	NA	0	0.84412	1.4447	5.5229	2	NA	NA	NA	1	0.56858	0.8663	9.2178	4	1.147	0.91094	20.355	2	0.85644	1.0796	3.7304	2	NA	NA	NA	1	7.7	10	14.8	16.8	0	1.9	5	10.8	5.7	1.9	4.6	2194300000	1262500000	931860000	60429000	24234000	36195000	291650000	155800000	135850000	778800000	464750000	314050000	818020000	518420000	299600000	0	0	0	3195500	1484100	1711500	87810000	18072000	69738000	22647000	14521000	8126600	71071000	29908000	41163000	2298100	1260700	1037400	58402000	34015000	24387000
F1NKN4		F1NKN4	51	51	11		LOC100858124	>tr|F1NKN4|F1NKN4_CHICK Uncharacterized protein (Fragment) OS=Gallus gallus GN=LOC100858124 PE=4 SV=2	1	51	51	11	14	19	27	16	0	2	7	9	7	1	16	14	19	27	16	0	2	7	9	7	1	16	1	6	6	1	0	0	1	0	1	0	2	44.6	44.6	13	178.86	1628	1628	20	33	49	23		3	8	9	12	2	26	0	1.2351	1.2738	45.573	135	0.98748	1.1962	13.246	16	1.1967	1.2545	49.101	20	2.0079	1.8301	32.936	40	1.5092	1.4719	53.897	15	NA	NA	NA	0	0.71258	1.1261	7.6496	3	0.84381	1.0335	82.027	5	0.86529	1.0846	26.559	9	1.5058	1.168	54.371	5	0.8023	1.0479	10.275	2	0.50792	0.84003	15.119	20	11.8	17.9	27.3	15	0	1.3	5.4	7.2	7.2	0.6	15	10757000000	4999300000	5757800000	2143700000	1150200000	993420000	1111600000	472210000	639400000	3533200000	1474800000	2058400000	1511000000	410410000	1100600000	0	0	0	4880100	3252500	1627600	200440000	75965000	124480000	21181000	11405000	9775400	361880000	179390000	182490000	3204900	1612900	1592000	1866100000	1220100000	646030000
